sample_rank,sample_stratum,comparison_outcome,factuality_gain_bucket,id,split,document,reference,baseline_summary,reranked_summary,baseline_factcc_style_score,reranked_factcc_style_score,baseline_summac_style_score,reranked_summac_style_score,baseline_entity_support_score,reranked_entity_support_score,baseline_factuality_composite,reranked_factuality_composite,factuality_delta,rougeLsum_delta,candidate_strategy_baseline,candidate_strategy_reranked,model_selected_system,model_primary_error_type,model_secondary_error_type,model_world_knowledge_addition,model_notes,selected_system,baseline_consistent,reranked_consistent,primary_error_type,secondary_error_type,world_knowledge_addition,annotator_id,annotation_method,notes
11,reranker_win | high_factuality_gain | No clear factual issue,reranker_win,high_factuality_gain,33935224,test_final,"The UK government has announced measures to speed up development.
Natural Resources Minister Carl Sargeant has written to councils reminding them of the temporary ban on fracking in Wales.
He said fracking technology was ""unproven"", saying Welsh ministers preferred to look at renewable energy.
Fracking is a process of using high pressure water to break up rocks deep underground to release gas and pipe it to the surface.
It is a major industry in the United States, but there are concerns about safety, the environment and underground water.
There have been protests against applications for test drilling for gas in both the Vale of Glamorgan and Wrexham, as well as sites in England.
Energy Secretary Amber Rudd has stressed the UK government's support for fracking, and frustration at delays in its development.
She has told councils in England to make decisions on applications within 16 weeks, to stop the process being ""dragged out for months"".
In his letter to Welsh councils, Mr Sargeant said the new guidance only applied to England and that the moratorium in Wales remained in place.
""The UK government's general support for oil and gas applications is contrary to the approach of the Welsh Government of promoting renewable and low carbon forms of energy through the planning system and other measures,"" he said.
""We still see renewable energy as a key element in ensuring that Wales achieves sustainable development for the benefit of future generations.
""Local planning authorities must ensure that planning applications for renewable energy projects are determined within statutory timescales.""
Plans to devolve control over fracking were confirmed in the Queen's Speech in June following the Conservatives' general election victory.","Fracking for shale gas in Wales should still be opposed despite plans to fast-track such schemes in England, the Welsh government has said.","A ban on fracking in Wales remains in place despite plans to devolve control over the industry to the Welsh Government, the government has said.",Plans to devolve control over fracking in Wales have been put on hold until further notice.,0.150978,0.985969,0.008586,0.266119,0.968,0.9375,0.3758546666666666,0.7298626666666667,0.35400800000000004,-0.29898,hf_beam_0,hf_beam_13,reranked,No clear factual issue,,False,Sentence count=1; entity_support=0.938; factcc_style=0.986,reranked,False,True,No clear factual issue,,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.938; factcc_style=0.986
12,reranker_win | high_factuality_gain | Number or date distortion,reranker_win,high_factuality_gain,30632453,test_final,"They made the connection on an expedition to the boy's village, Meliandou.
They took samples and chatted to locals to find out more about Ebola's source.
The team's findings are published in EMBO Molecular Medicine.
Meliandou is a small village of 31 houses.
It sits deep within the Guinean forest region, surrounded by towering reeds and oil palm cultivations - these are believed to have attracted the fruit bats carrying the virus passed on to Emile.
During their four-week field trip in April 2014, Dr Fabian Leendertz and colleagues found a large tree stump situated about 50m from Emile's home.
Villagers reported that children used to play frequently in the hollow tree.
Emile - who died of Ebola in December 2013 - used to play there, according to his friends.
The villagers said that the tree burned on March 24, 2014 and that once the tree caught fire, there issued a ""rain of bats"".
A large number of these insectivorous free-tailed bats - Mops condylurus in Latin - were collected by the villagers for food, but disposed of the next day after a government-led ban on bushmeat consumption was announced.
While bushmeat is thought to be a possible source of Ebola, the scientists believe it didn't trigger the outbreak.
Instead, it was Emile's exposure to the bats and their droppings as he played with his friends in the hollowed tree.
The scientists took and tested ash samples from the tree and found DNA traces that were a match for the animals.
While they were unable to test any of the bushmeat that the villagers had disposed of, they captured and tested any living bats they could find in and around Meliandou.
No Ebola could be detected in any of these hundred or so animals, however.
But previous tests show this species of bat can carry Ebola.
Dr Leendertz, from the Robert Koch Institute in Germany, and his colleagues say this must be a pretty rare occurrence though.
Dr Leendertz said: ""That is also obvious when you think about how many tonnes of bat meat is consumed every year.
""If more bats carried the virus, we would see outbreaks all the time.""
He says it is vital to find out more about the bats.
""They have moved into human settlements. They do not just live in the trees but also under the roofs of houses in the villages.
""The Ebola virus must jump through colonies from bat to bat, so we need to know more.""
But culling the animals is not the answer.
""We need to find ways to live together with the wildlife. These bats catch insects and pests, such as mosquitoes. They can eat about a quarter of their body weight in insects a day.
""Killing them would not be a solution. You would have more malaria.""","The Ebola victim who is believed to have triggered the current outbreak - a two-year-old boy called Emile Ouamouno from Guinea - may have been infected by playing in a hollow tree housing a colony of bats, say scientists.",German scientists believe they have found evidence that the deadly Ebola virus passed on to 11-year-old Emile Zidan in Guinea came from the same species of bat that killed him.,German scientists believe they have found the source of the deadly Ebola virus that killed 12-year-old Emile Zidan in Guinea.,0.056863,0.776883,0.0,0.0,0.345833,0.3525,0.134232,0.376461,0.242229,-0.024013000000000007,hf_beam_1,hf_beam_14,reranked,Number or date distortion,No clear factual issue,False,Sentence count=1; entity_support=0.352; factcc_style=0.777,reranked,False,False,Number or date distortion,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.352; factcc_style=0.777
13,reranker_win | low_or_no_gain | Entity swap / wrong named entity / unsupported named entity,reranker_win,low_or_no_gain,37666633,test_final,"The incident happened near Corbett Place and Calais View at about 08:30 on Thursday.
Officers are now urging anyone who saw the man to get in touch.
He is described as being in his late teens or early 20s with dark, curly, short hair. He is about 5ft 9in and was wearing a dark top.",Police in Fife are searching for a man who was seen exposing himself in Dunfermline.,Police have released CCTV images of a man they want to speak to in connection with a serious assault in Aberdeen city centre.,Police have released CCTV images of a man they want to speak to in connection with a serious assault in Edinburgh city centre.,0.188477,0.276136,0.083237,0.082869,0.419565,0.419565,0.2304263333333333,0.2595233333333333,0.029096999999999984,0.0,hf_beam_2,hf_beam_4,reranked,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,Sentence count=1; entity_support=0.420; factcc_style=0.276,reranked,False,False,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.420; factcc_style=0.276
14,reranker_win | low_or_no_gain | Number or date distortion,reranker_win,low_or_no_gain,27119429,test_final,"The fine follows the conviction of former RBS trader, Shirlina Tsang, for fraud last year.
She was sentenced to 50 months in prison after being caught falsifying records of emerging markets trades.
Hong Kong regulators said RBS's controls were ""seriously inadequate"".
The Securities and Futures Commission (SFC) also said there were ""significant weaknesses in its procedures, management systems and internal controls.""
But the regulator said the fine took into account the bank's speedy action in alerting the authorities once it had discovered the illegal trades, which took place in its emerging markets rates business in 2011.
""This deserves substantial credit and is the reason why today's sanctions are not heavier ones,"" Mark Steward, the SFC's head of enforcement, said in a statement.
RBS responded with a statement, reading: ""We put in place a comprehensive remediation programme that strengthened our governance and supervisory oversight, and our control environment.""
The fine is relatively small compared to others the bank has received in the last few years.
In December RBS agreed to pay 391m euros (£320m) in penalties to the European Commission for its role in the attempted rigging of Yen Libor and Euribor - the Tokyo and euro equivalents of the London interbank offered rate, or Libor.
In the same month it was fined $100m (£60m) by US regulators for violations of US sanctions against Iran, Sudan, Burma, and Cuba.
The bank was found to have removed location information on payments made to US financial institutions from countries such as Iran and Cuba.","Royal Bank of Scotland (RBS) has been fined HK$6m (£460,000) by Hong Kong regulators after it failed to detect a series of unauthorised transactions by one of its traders.",Hong Kong's financial regulator has fined Royal Bank of Scotland (RBS) 1.5bn Hong Kong dollars (£1.1bn) for failing to properly monitor its trading operations.,Hong Kong's financial regulator has fined Royal Bank of Scotland (RBS) 1.8bn Hong Kong dollars (£1.1bn) for failing to properly supervise a trading operation.,0.560744,0.625798,0.0,0.0,0.38,0.38,0.3135813333333333,0.335266,0.021684666666666685,0.0,hf_beam_0,hf_beam_10,reranked,Number or date distortion,No clear factual issue,False,Sentence count=1; entity_support=0.380; factcc_style=0.626,reranked,False,False,Number or date distortion,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.380; factcc_style=0.626
15,reranker_win | low_or_no_gain | Negation / polarity / stance reversal,reranker_win,low_or_no_gain,30689144,test_final,"While $50m is the starting point for serious wealth, ""in reality your spending power and investing power really gets to the next level when you get to around $100m"", says Catherine Tillotson.
Ms Tillotson is joint managing partner of Scorpio Partnership, a London-based firm which advises the super-rich on how to manage their assets, and she says there is a reason for this dividing line between the wealthy elite and the rest of us.
""This is the point at which families will start to think about employing people purely to help them manage their financial affairs,"" she says.
There may now be more multi-millionaires and billionaires than ever before in the world, but since the 2008 global financial crisis the wealth gap between the world's top 1% and the rest of us has grown.
This increasingly stark division between haves and have-nots is leading to increasing rancour towards the very wealthy, say many social commentators.
Robert Kuhn is better placed than many to understand this hostility - a former investment banker and corporate strategist, he is himself among the world's wealthy elite.
The world is getting wealthier - we live longer, eat better, are better educated and fewer people live in extreme poverty.
But with the gap between rich and poor feeling bigger than ever, the BBC is investigating the winners and losers of this richer world in 2015.
A Richer World 2015
""I think much of it is justified,"" he says, perhaps surprisingly, ""and I think we should describe why that's the case.""
One of the main reasons for this, he says, is the web. ""We have a very highly wired world with the internet, people are more aware of things - and I think that's a good thing.""
Mr Kuhn is coy about his own net worth. When asked if it is ""tens of millions"" of dollars, he replies, ""I would not like to be too specific, but I wouldn't contradict what you just said.""
Trained as a neuroscientist, Mr Kuhn became an investment banker and then in the early 1990s sold his mergers and acquisitions firm ""at the right time"".
He says he worked hard, ""but if I don't acknowledge there was a lot of luck involved I would be fooling myself"".
He wants to encourage more and more people to become wealthy, but also to place limits on the amount of wealth that can be passed on to the next generation.
""That gives each generation a chance to have higher social mobility.""
But given that the gap between rich and poor has reached its widest level for 30 years in most developed countries, according to says the Organisation for Economic Co-operation and Development (OECD) group of developed nations - that social mobility is getting harder for many.
In the 1980s, the richest 10% had incomes seven times greater than the poorest 10% in the average industrialised country.
Now, in those same countries, the richest have incomes nine-and-a half times greater than the poorest, on average. The actual figures vary widely across the 34 OECD's member states.
In Denmark the top 10% earn about five times more than the bottom 10% - in Mexico they earn 30 times as much.
How much more do the top 10% earn than the bottom 10%?
Source: OECD (2011)
Other organisations, too, are highlighting this discrepancy between rich and poor. A report this month from the charity Oxfam says the world's wealthiest 1% will own more than 50% of the world's wealth by 2016.
""This is something that we should be very worried about,"" says Mark Pearson, the OECD's deputy director of employment, labour and social affairs.
If countries want to boost their economic growth, then they need to take steps to narrow this wealth gap, says the OECD.
This goes against the longstanding free market argument that rising wealth at the top will trickle down to everybody else.
But, the OECD research suggest that the reverse is true. ""Our finding is that by reducing income inequality, you can boost economic growth,"" Mr Pearson told BBC World Service's Business Daily programme.
An increasing wealth gap hinders economic growth because it limits investment in a country's labour force, argues the OECD.
Poorer people cannot afford to spend as much as the rich can on their children's education.
And that lack of investment in education means a less educated and less flexible workforce in the long run, says the group in its research.
It is not just the super-rich that are doing well - those whose business is dealing with super-rich customers are profiting too.
Alex Cheatle is chief executive of Ten Group, a lifestyle concierge service that can helps its clients get that exclusive restaurant table, sell-out theatre ticket - or finds that vintage sports car in a particular colour.
Ten will even do your window-shopping for you, if you are too rich or famous to be able to do it yourself.
""Very often they will want us to take a picture of the window and get it to them, so they do their window shopping as and when they want to,"" says Mr Cheatle.
""There hasn't really been a crisis for many of our members. Business is booming for us, we've grown every year since 2008 - growing at an average rate of 25-30% a year.""
When you consider how much the super-rich spend, that growth is perhaps not surprising.
Over the course of a year, it's reckoned the world's top 1% spend a staggering $45bn (£30bn) on travel and hospitality, $40bn (£26bn) on cars, and $25bn (£16bn) each on art, jewellery and watches.
Or course, the ultimate statement of wealth is to have your own super-yacht - complete with helicopter pad, speedboat tenders and even a submarine or two.
The world's biggest such boat is currently the Azzam, 180m (590ft) long, launched in 2013 at a reported cost of up to $600m (£400m) - and the sector has certainly weathered the global slowdown better than many others.
Source: Boat International
So with the wealth gap rising should the rich pay more tax, and if so would that help?
Robert Kuhn - now business and financial commentator - argues that countries that decide to increase taxes on the rich may not see any benefit.
He believes increasing income taxes to too high a level would ""inhibit the creation of new wealth which is detrimental to society"".
""I'm just worried about the behaviour and implications if you put too high a tax rate, what that will do to current generations in their energy and focus to create new wealth,"" says Mr Kuhn.
At Scipio Partnership, Catherine Tillotson says that focussing on tax misses out the contributions made by many rich patrons to philanthropic and charitable causes.
""The tax question is hugely complicated,"" she says.
""Most families that I've met will say that it is absolutely critical to them that they pay the right amount of tax according to the rules.""
However, ""in many ways those dollars spent on philanthropic passions may be doing more good than they would have done in the tax system"", she says.
Yet ever since the financial crisis of 2008, and subsequent global economic slowdown, politicians have come under increasing pressure to increase tax contributions from the richest in their societies.
Protest movements such as Occupy Wall Street, which started in 2011 and has since spread to many other countries, have highlighted concern over social and economic inequality worldwide.
For his part, Robert Kuhn is not convinced that a widening wealth gap matters in economic terms, but ""it matters in social stability for sure"", he agrees.
""It matters in terms of social mobility of subsequent generations.""
""To me that's the biggest problem, for any country,"" he says. ""And many countries are facing that.""
Click here for more from BBC's A Richer World, a season exploring the world's wealth, poverty and inequality",These days it is not enough just to be a millionaire to count yourself as one of the super-rich - you need to be worth between $50-100m (£33m-£66m).,"There may now be more multi-millionaires and billionaires than ever before in the world, but the wealth gap between the world's top 1% and the rest of us has grown even wider.","There may now be more multi-millionaires and billionaires than ever before in the world, but the wealth gap between the world's top 1% and the rest of us is getting even wider.",0.744612,0.799751,0.849959,0.855783,0.99375,0.99375,0.8627736666666667,0.8830946666666666,0.020320999999999922,0.0,hf_beam_0,hf_beam_10,reranked,Negation / polarity / stance reversal,No clear factual issue,False,Sentence count=1; entity_support=0.994; factcc_style=0.800,reranked,False,False,Negation / polarity / stance reversal,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.994; factcc_style=0.800
16,reranker_win | factuality_regression | Number or date distortion,reranker_win,factuality_regression,18298438,test_final,"It is believed to be the first alleged breach of the Terrorism Prevention and Investigation Measures (TPim).
The suspect appeared at the Old Bailey accused of failing to contact a monitoring company and report to a police station twice in January.
The Home Office has refused to comment on the case.
TPims replaced control orders in January 2012.
The suspect - who can only be referred to as BM - was one of nine British citizens subject to a TPim when the figures were last disclosed in March.
The BBC is not aware of anyone else who has appeared in court charged with a breach of a TPim.
The Home Office said: ""We do not comment on individual cases.  The police investigate all breaches of TPims and will prosecute where that is viable.""
Those subject to a TPim can be ordered to stay overnight at a specified address and report to a police station every day.
Other measures include a ban on contacting particular individuals, going to certain areas and places and travelling abroad.
Labour has argued that TPims have ""weakened"" public protection against terrorism.
In March, the independent reviewer of terror laws, David Anderson, said TPims could prove less effective than control orders because they can be imposed for a maximum period of two years only.
The court heard that BM is charged with two counts of breaching Section 23 of a TPim order.
The allegations are that on 16 January he failed to contact a monitoring company, and on 27 January failed to report to a police station.
BM, who has a grey beard and was dressed for the hearing in a white shirt, cannot be named nor have his address published for legal reasons.
The prosecutor Louise Gray asked for a provisional date of 2 July to be set for a plea and case management hearing.
The defendant was granted unconditional bail although he remains subject to the restrictions imposed by his TPim.
A trial date was not set.",A suspected terrorist has been charged with breaching conditions imposed as part of the government's new terror monitoring powers.,A British man has appeared in court charged with breaching restrictions imposed on him as part of a counter-terrorism operation.,A 25-year-old man has appeared in court charged with breaching restrictions imposed in the wake of the Paris attacks.,0.0,0.0,0.709301,0.0,0.5,0.247368,0.4031003333333333,0.082456,-0.3206443333333333,-0.09756100000000001,hf_beam_4,hf_beam_7,reranked,Number or date distortion,No clear factual issue,False,Sentence count=1; entity_support=0.247; factcc_style=0.000,reranked,False,False,Number or date distortion,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.247; factcc_style=0.000
17,tie_or_close | low_or_no_gain | Entity swap / wrong named entity / unsupported named entity,tie_or_close,low_or_no_gain,37250267,test_final,"The bird's head and wings became stuck in the wire fence in Bethesda while it was chasing a wood pigeon.
RSPCA Inspector Mike Pugh, who freed the animal, said: ""The buzzard was feisty, but luckily, had not had much feather damage.
""I released the bird back to the wild where he belongs straight away.""",A buzzard has been rescued after becoming trapped between fencing and a wall in Gwynedd.,A buzzard that became stuck in a garden fence in Surrey has been freed by the RSPCA.,A buzzard that got stuck in a garden fence in Surrey has been freed by the RSPCA.,0.0,0.0,0.02132,0.054881,0.467647,0.455882,0.162989,0.1702543333333333,0.007265333333333318,0.0,hf_beam_1,hf_beam_4,reranked,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,Sentence count=1; entity_support=0.456; factcc_style=0.000,reranked,False,False,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.456; factcc_style=0.000
18,tie_or_close | low_or_no_gain | Entity swap / wrong named entity / unsupported named entity,tie_or_close,low_or_no_gain,34787804,test_final,"The man known as Kazu, or 'King Kazu' by some fans, will stay with the second division side past his 49th birthday.
Kazuyoshi first played for Brazilian side Santos in 1986, so his deal will see his career span over 30 years.
""I'm thankful to the club staff and supporters who always offer me support,"" said Miura, who scored 55 goals in 89 appearances for Japan.
""I'll continue to give everything I have and strive,"" added the former Genoa and Dinamo Zagreb striker.
Perhaps unsurprisingly, Miura holds the record as the oldest scorer in Japanese football - a winner in a second division match four months after his 48th birthday.
He was particularly prolific in guiding Japan to the 1998 World Cup, scoring 14 goals in qualifying, and last played for the national side in 2000.
His career, which started when he moved to Brazil to play youth football aged 15, is one of the longest in football history.
Last week ex-England striker Teddy Sheringham registered himself as a player for Stevenage - where he is manager - at the age of 49 but opted out of playing in a local cup competition.",Japanese footballer Kazuyoshi Miura has signed a one-year contract extension with Yokohama FC at the age of 48.,Japan legend Kazuyoshi Miura has signed a new contract with Japanese side Shonan Belles.,Japan legend Kazuyoshi Miura has signed a new contract with Japanese club Sagan Tosu.,0.102088,0.107889,0.0,0.0,0.675,0.675,0.2590293333333333,0.260963,0.0019336666666667224,0.0,hf_beam_0,hf_beam_15,reranked,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,Sentence count=1; entity_support=0.675; factcc_style=0.108,reranked,False,False,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.675; factcc_style=0.108
19,tie_or_close | low_or_no_gain | Entity swap / wrong named entity / unsupported named entity,tie_or_close,low_or_no_gain,33144298,test_final,"Spokesman Josh Earnest confirmed a private party was held on Saturday but said little else.
The guest list of 500 was said to include lobbyists, CEOs and celebrities.
The Rev Al Sharpton tweeted about a performance by Prince and Steve Wonder.
The civil rights activist and TV host wrote it was ""awesome"" to see them both on the keyboards.
Mr Earnest did say the Obamas' paid for the party on ""their own dime"", but would not say how much the party cost.
The New York Post reported that film director Tyler Perry, actresses Angela Bassett and fashion designer Naeem Khan were among the celebrity guests.",White House officials will not say whether pop star Prince performed at a weekend party at the executive residence despite guests posting about it on social media.,The White House has said the Obamas paid for a lavish birthday party for President Barack Obama in New York.,The White House has said the Obamas paid for a lavish birthday party for President Barack Obama in New York City.,0.0,0.0,0.0,0.0,0.44,0.445238,0.1466666666666666,0.1484126666666666,0.0017459999999999976,-0.0035459999999999936,hf_beam_0,hf_beam_2,reranked,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,Sentence count=1; entity_support=0.445; factcc_style=0.000,reranked,False,False,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.445; factcc_style=0.000
20,tie_or_close | low_or_no_gain | Number or date distortion,tie_or_close,low_or_no_gain,35194738,test_final,"The ska group tweeted the news: ""It is with deep regret that we say goodbye to our great friend, the world's greatest drummer, our beloved Brad. RIP.""
Bradbury joined The Specials in 1979, and continued with the reversioned band The Special AKA, who had a top 10 hit with Free Nelson Mandela.
Bradbury took part in The Specials reunion tour in 2009. He also headed up a band called JB Allstars.
The band's representatives said the drummer died in England but no cause of death was given.
In a statement, his family said: ""It is with deepest regret that we have to announce the very sad news that our much loved husband and father John 'Brad' Bradbury passed away on Monday the 28 of December.
""Brad's drumming was the powerhouse behind The Specials and it was seen as a key part to the Two Tone sound. He was much respected in the world of drumming and his style of reggae and ska was seen as genuinely ground-breaking when The Specials first hit the charts in 1979.
""He was an integral part of The Specials reforming in 2008 and toured with them extensively up to the present day. His contribution to the world of music can not be understated and he will much missed by family, friends and fans alike.
""It is the family's sincerest wish that they are allowed the time to remember him privately.""
The news comes three months after the band's trombonist, Rico Rodriguez, died.
The band, famed for their 1960s mod-style outfits, had seven UK top 10 singles including Too Much Too Young and Ghost Town.
Founder and songwriter Jerry Dammers dissolved the band in 1981 but they re-grouped and continue to perform and record without their former leading man.
Billy Bragg was one of the first musicans to pay tribute to Bradbury.: ""A bad day for good music. First we lose Lemmy, now news that Brad from the Specials has passed away. RIP.""
Bradbury was born and brought up in Coventry where the band was formed in 1977.
Music producer Pete Waterman, also from Coventry, expressed his shock at the news of the Bradbury's death.
Speaking to BBC Coventry and Warwickshire, Waterman said: ""I always had a good laugh with Brad. He was always proud of being in the band and what we'd and he'd achieved.
""He never left Coventry because he always wanted to be part of the scene... he was tremendous.""","John ""Brad"" Bradbury, drummer with The Specials, has died at the age of 62.","The Specials drummer John ""Brad"" Bradbury has died at the age of 61, the band have confirmed.","The Specials drummer John ""Brad"" Bradbury has died at the age of 69, the band have announced.",0.007737,0.011876,0.0,0.0,0.702941,0.702941,0.2368926666666666,0.2382723333333333,0.0013796666666666957,0.0,hf_beam_0,hf_beam_15,reranked,Number or date distortion,No clear factual issue,False,Sentence count=1; entity_support=0.703; factcc_style=0.012,reranked,False,False,Number or date distortion,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.703; factcc_style=0.012
21,tie_or_close | low_or_no_gain | Entity swap / wrong named entity / unsupported named entity,tie_or_close,low_or_no_gain,23606507,test_final,"The Â£21.5m Castle Mill development at Port Meadow, by the River Thames, has been widely criticised as ugly and spoiling the view of Oxford's skyline.
The Campaign to Protect Rural England (CPRE) will put its case to a High Court judge on 23 October.
The five-storey university blocks provide 439 accommodation units.
The flats overlook a Site of Special Scientific Interest and a Scheduled Ancient Monument.
CPRE is seeking the judicial review on the basis of Oxford City Council not carrying out an environmental impact assessment.
The council has said the challenge was late as the housing had already been built, and it believed the group's claims were unfounded.
Helen Marshall, director of CPRE Oxfordshire, said the West Area Planning Committee ""should under no circumstances be rushed into making further poor decisions"".
""We are not yet convinced that the planning condition on contamination has been met,"" she added.
""And the mitigation proposals currently suggested by the university are woefully inadequate to counteract the devastating impact of the buildings on Port Meadow and Oxford's historic skyline.
""A few trees growing to approximately half the height of the buildings in 15 years' time will not meet the brief of 'hiding the buildings in summer and softening their impact in winter'
""Key issues such as the height of the buildings and light pollution still need to be addressed.""
A University of Oxford spokesman said it had ""thought carefully"" about how best to mitigate the impact of the buildings.
""Some measures have already been put in place, and discussions with the city council and others are ongoing about what more we can do,"" he added.
""The University will be making representations at the interim hearing in October on the procedural issues raised by the challenge.
""In the meantime, we intend to finish and occupy the buildings by the start of the next academic year in October as planned.""
The city council said last month it was carrying out an independent review into the case.
An online petition against the development on Roger Dudman Way has attracted more than 3,000 signatures.",A campaign group has been granted a hearing to examine the case for a judicial review of the decision to build student flats near a beauty spot.,A campaign group has launched a legal challenge to the University of Oxford's controversial tower blocks.,A campaign group has launched a legal challenge to the University of Oxford's tower blocks.,0.853039,0.853722,0.78871,0.782908,0.7,0.708333,0.780583,0.7816543333333333,0.001071333333333313,0.008456999999999992,hf_beam_0,hf_beam_9,reranked,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,Sentence count=1; entity_support=0.708; factcc_style=0.854,reranked,False,False,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.708; factcc_style=0.854
22,tie_or_close | low_or_no_gain | Entity swap / wrong named entity / unsupported named entity,tie_or_close,low_or_no_gain,37546354,test_final,"Washington blamed Russia and the Syrian government for intensifying their attacks against civilians.
Last week, the US warned it would halt the talks unless Moscow stops bombing the city of Aleppo.
Russia said it regretted the US move, accusing it of shifting the blame for the collapse of last month's truce.
Aleppo, Syria's largest city in the north, has come under heavy aerial bombardment since the end of the ceasefire two weeks ago.
The main trauma hospital in the rebel-held eastern part of the city was hit in an air strike for the third time in a week, activists said on Monday.
Hundreds of people, including children, have died since government forces launched an offensive to take full control of Aleppo after the week-long truce lapsed.
Some 250,000 people are trapped in eastern Aleppo.
In a statement, state department spokesman john Kirby said: ""The United States is suspending its participation in bilateral channels with Russia that were established to sustain the cessation of hostilities.
""Unfortunately, Russia failed to live up to its own commitments... and was also either unwilling or unable to ensure Syrian regime adherence to the arrangements to which Moscow agreed.
""Rather, Russia and the Syrian regime have chosen to pursue a military course,"" Mr Kirby said, admitting that ""this is not a decision that was taken lightly"".
He said Moscow and Syrian President Bashar al-Assad's troops had been ""targeting of critical infrastructure such as hospitals, and preventing humanitarian aid from reaching civilians in need, including through the 19 September attack on a humanitarian aid convoy"".
Moscow strongly denies involvement of its own or Syrian planes in the deadly aid convoy strike, and says the incident was caused by fire on the ground and not by an air strike.
In response to the US suspension of the talks, Russian foreign ministry spokeswoman Maria Zakharova said: ""We regret this decision by Washington.""
""Washington simply did not fulfil the key condition of the agreement to improve the humanitarian condition around Aleppo.
""After failing to fulfil the agreements that they themselves worked out, they are trying to shift responsibility on to someone else,"" Ms Zakharova said.
She also said that the US had failed to divide jihadist groups in Syria from the moderate opposition.
Russia and the US were due to convene in Geneva to try to co-ordinate air strikes against jihadist groups, but American officials were told to return home.
The US also said that it would withdraw personnel ""that had been dispatched in anticipation of the possible establishment of the Joint (US-Russian) Implementation Centre"".
However, the two sides would keep talking about counter-terrorism operations in Syria to avoid unnecessary clashes.","The US has said it is suspending talks with Russia over Syria, accusing Moscow of having ""failed to live up"" to its commitments under a ceasefire deal.",The US has suspended talks with Russia aimed at ending the conflict in Syria.,The US has suspended talks with Russia aimed at ending the conflict in Syria.,0.844925,0.844925,0.225419,0.225419,0.764286,0.764286,0.6115433333333333,0.6115433333333333,0.0,0.0,hf_beam_0,hf_beam_0,reranked,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,Sentence count=1; entity_support=0.764; factcc_style=0.845,reranked,False,False,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.764; factcc_style=0.845
23,tie_or_close | low_or_no_gain | Entity swap / wrong named entity / unsupported named entity,tie_or_close,low_or_no_gain,38914203,test_final,"Only 90 will be returned to Stormont - compared to 108 from previous assembly polls.
Out of the 228 candidates, 70 are women. The election will take place on 2 March.
Once again the DUP is fielding the most candidates with 38, followed by Sinn FÃ©in on 34.
The Ulster Unionist Party has 24 candidates, while the SDLP and Alliance have 21 each.
The Green Party is fielding 18 candidates, the TUV, 14, the Conservatives 13 and People Before Profit seven.
The Workers Party has five candidates in the race, the cross-community Labour Alternative four, the PUP and the Citizens Independent Social Thought Alliance three each and the UKIP one.
There are also 22 independent candidates in the field.
West Tyrone, East Londonderry and East Antrim have the largest number of candidates standing, with 15 going on the ballot paper in each.
The constituency with the fewest - nine - is Newry and Armagh.",A total of 228 candidates will contest the Northern Ireland Assembly election next month - 48 fewer than last time.,There are 228 candidates standing for election to the Northern Ireland Assembly.,There are 228 candidates standing for election to the Northern Ireland Assembly.,0.112472,0.112472,0.276021,0.276021,0.691667,0.691667,0.3600533333333333,0.3600533333333333,0.0,0.0,hf_beam_0,hf_beam_0,reranked,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,Sentence count=1; entity_support=0.692; factcc_style=0.112,reranked,False,False,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.692; factcc_style=0.112
